Rafaela Santos,132.579.864-91,bribeiro@da.br,2021-03-25 18:46:34,lt-10.costa.br,76.59.32.153,"Mozilla/5.0 (Windows 98) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/37.0.860.0 Safari/535.0","Aeroporto Maysa Fogaça, 682
Itapoa
82718-699 da Luz de Goiás / TO","Mastercard
Luana Monteiro
2233314561962804 07/30
CVV: 576
",12/27
Felipe Almeida,952.840.361-15,caldeirabianca@da.com,2021-07-01 05:47:45,db-74.viana.net,139.177.16.117,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/58.0.861.0 Safari/531.2","Parque de Moura, 9
Palmeiras
68764544 da Cunha / MG","VISA 13 digit
Bernardo Pereira
4690212354967 04/30
CVC: 204
",12/22
Carolina Pinto,263.481.590-51,azevedoagatha@pires.br,2021-04-01 15:27:07,desktop-57.das.net,2.191.79.168,"Mozilla/5.0 (Windows 98) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/33.0.844.0 Safari/531.2","Rodovia Mariana Nunes
Petropolis
44478-961 Nogueira / GO","Mastercard
Sarah das Neves
2672560643967553 11/24
CVV: 545
",12/25
Srta. Evelyn da Rocha,983.576.410-75,pedro-henriquemonteiro@monteiro.com,2021-03-15 07:34:26,lt-62.gomes.br,220.86.236.10,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/22.0.895.0 Safari/531.1","Vila Fernandes, 61
Vila Olhos D'água
34601-285 Melo do Galho / RN","American Express
João Felipe Aragão
379731714279166 08/30
CID: 7647
",12/25
Bárbara Moraes,461.930.782-31,ocardoso@correia.com,2021-06-21 15:41:48,lt-85.freitas.br,76.231.106.192,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/46.0.840.0 Safari/536.2","Praia de Martins, 32
São Jorge 3ª Seção
82425-125 Cardoso / MG","Discover
Levi Cardoso
6558896280015680 03/29
CVC: 404
",12/25
Ana Caldeira,627.304.819-31,arthurnogueira@bol.com.br,2021-01-21 00:51:50,lt-10.da.com,184.147.73.108,"Mozilla/5.0 (Linux; Android 8.0.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/41.0.838.0 Safari/531.2","Vale Campos
Laranjeiras
15090-544 da Costa de Goiás / SC","JCB 15 digit
Agatha Azevedo
180050923962986 12/28
CVC: 911
",12/27
Valentina Correia,236.179.804-22,duarteluiz-fernando@pires.com,2021-03-15 15:32:56,srv-80.costa.com,4.138.182.43,"Mozilla/5.0 (Linux; Android 3.2.2) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/57.0.878.0 Safari/534.1","Núcleo Thiago Caldeira, 51
Estrela Do Oriente
63087-875 da Costa / RR","Maestro
Camila Gonçalves
562866763484 09/25
CVV: 575
",12/29
Bianca Peixoto,408.271.639-40,da-matamaria@duarte.net,2021-08-11 17:37:25,lt-44.nogueira.net,212.105.53.104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10 6_1) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/15.0.854.0 Safari/536.2","Alameda de Aragão, 441
Vila São Rafael
02855-806 da Mota / SP","Maestro
Lorenzo Rocha
630452436862 12/23
CVV: 110
",12/26
Sra. Brenda Campos,932.675.140-61,tda-paz@dias.com,2021-07-18 14:31:37,srv-30.caldeira.br,125.68.27.12,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/32.0.875.0 Safari/536.0","Favela de Alves, 18
Liberdade
74040873 Almeida das Pedras / MA","JCB 16 digit
João Lucas Almeida
3584956594798960 04/24
CVC: 573
",12/27
Carlos Eduardo Rocha,431.502.897-50,piressabrina@da.org,2021-04-20 02:46:54,db-41.da.org,171.251.60.10,"Mozilla/5.0 (Linux; Android 6.0) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/28.0.844.0 Safari/533.0","Campo Duarte, 7
Indaiá
38573-638 Araújo / GO","Mastercard
Arthur Cardoso
2283940068305797 03/23
CVV: 503
",12/29
Luiz Henrique Barros,625.791.840-58,das-nevesmaria-alice@bol.com.br,2021-07-18 03:09:42,desktop-08.lima.net,205.55.44.203,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.845.0 Safari/535.1","Viaduto Gomes, 84
Cidade Jardim
04357-093 da Rosa / PE","Discover
Caio Rezende
6502242849555303 03/28
CVC: 217
",12/26
